"Abnormality NEC","Blood","Circulatory","Congenital","Digestive","Ear","Endocrine/metabolic","External","Eye","Genitourinary","Infectious disease","Mental/behavioural","Musculoskeletal","Neoplasm","Nervous system","Not recorded","Obstetric/puerperium","Other","Perinatal","Respiratory","Skin","Died of Abnormality NEC","Died of Blood","Died of Circulatory","Died of Congenital","Died of Digestive","Died of Ear","Died of Endocrine/metabolic","Died of External","Died of Eye","Died of Genitourinary","Died of Infectious disease","Died of Mental/behavioural","Died of Musculoskeletal","Died of Neoplasm","Died of Nervous system","Died of Obstetric/puerperium","Died of Perinatal","Died of Respiratory","Died of Skin","Died of unrecorded"
"v4_all_q15",880,53,429,0,372,0,108,547,5,371,199,123,155,235,91,75,0,30,0,962,97,9,0,152,0,24,0,17,12,0,17,5,53,0,179,32,0,0,104,0,9
"v3_all_q16",669,30,243,0,279,0,99,321,0,217,118,132,91,67,75,55,0,12,0,686,72,0,0,45,0,8,0,8,9,0,8,0,14,0,39,10,0,0,37,0,0
"v4_all_q16",789,46,359,0,377,7,150,426,0,333,163,135,132,247,81,79,0,27,0,954,109,0,0,130,0,20,0,11,5,0,18,0,38,0,207,28,0,0,61,0,0
"v3_all_q17",487,16,167,0,237,0,101,271,0,174,94,154,65,35,65,46,0,15,0,541,60,0,0,32,0,5,0,7,9,0,0,0,12,0,25,9,0,0,21,0,0
"v4_all_q17",619,53,267,0,254,0,110,314,6,282,145,123,86,170,63,62,0,19,0,715,88,0,0,83,0,7,0,12,7,0,8,0,31,0,145,20,0,0,54,0,0
"v3_all_q18",173,9,48,0,79,0,35,112,0,45,34,50,23,16,24,23,0,5,0,185,25,0,0,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
"v4_all_q18",596,30,230,0,272,0,106,280,0,183,130,130,85,135,52,60,0,19,0,727,64,0,0,77,0,10,0,9,7,0,11,0,15,0,145,7,0,0,44,0,0
"v3_all_q19",87,0,15,0,41,0,13,47,0,29,16,14,15,8,9,0,0,0,0,78,13,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_all_q19",251,15,104,0,117,0,51,130,0,74,50,55,27,68,28,24,0,6,0,327,22,0,0,21,0,7,0,0,0,0,0,0,0,0,45,0,0,0,22,0,0
"v3_all_q20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"v4_all_q20",204,6,48,0,90,0,41,74,0,41,22,40,19,16,16,20,0,5,0,225,17,0,0,11,0,6,0,0,0,0,0,0,0,0,10,0,0,0,9,0,0
"v3_Male_q1",6034,189,3164,58,3992,180,358,8475,190,1811,2133,604,1187,676,665,797,0,223,0,2810,1389,24,0,326,0,28,0,23,206,0,0,0,20,0,51,12,0,0,30,0,16
"v4_Male_q1",5616,159,2720,51,3734,161,315,7967,186,1761,1924,476,1164,538,613,719,0,204,0,2563,1357,18,0,241,0,18,0,19,186,0,0,0,12,0,31,7,0,0,18,0,15
"v3_Male_q2",6328,216,3633,27,3527,148,536,5997,162,1617,1949,701,1304,883,704,722,0,213,0,3374,1278,21,0,475,0,43,0,28,245,0,0,9,37,0,94,53,0,0,62,0,23
"v4_Male_q2",6041,196,3763,30,3438,165,435,5678,159,1456,1928,543,1217,777,673,659,0,178,0,2956,1208,20,0,473,0,37,0,26,171,0,0,8,19,0,72,16,0,0,37,0,21
"v3_Male_q3",4661,190,3020,19,2267,111,449,3387,92,1110,1559,494,825,762,546,475,0,159,0,3179,774,13,0,426,7,33,0,27,121,0,6,0,59,0,167,62,0,0,51,0,19
"v4_Male_q3",3997,136,2507,14,1864,88,340,2908,84,937,1392,447,697,549,423,400,0,125,0,2577,600,13,0,317,0,18,0,24,118,0,0,0,28,0,91,21,0,0,37,0,13
"v3_Male_q4",2291,94,1573,7,1085,30,229,1426,48,589,595,261,407,422,242,232,0,51,0,1604,327,11,0,221,0,17,0,10,50,0,0,0,37,0,112,52,0,0,38,0,11
"v4_Male_q4",2676,115,1753,17,1245,52,277,1840,50,614,680,328,497,429,302,271,0,70,0,1730,397,8,0,232,0,25,0,14,78,0,0,0,17,0,73,25,0,0,30,0,6
"v3_Male_q5",2358,82,1584,8,1018,33,246,1448,37,606,522,285,445,484,239,229,0,75,0,1674,287,11,0,277,0,17,0,18,38,0,8,0,75,0,157,70,0,0,61,0,5
"v4_Male_q5",2093,85,1493,0,1037,24,239,1408,33,562,538,265,379,347,229,211,0,73,0,1494,333,7,0,239,0,14,0,9,57,0,5,0,32,0,77,26,0,0,36,0,0
"v3_Male_q6",2219,108,1453,5,954,27,251,1347,29,661,479,331,384,454,216,164,0,63,0,1718,269,14,0,283,0,18,0,23,37,0,9,0,106,0,179,66,0,0,78,0,6
"v4_Male_q6",1840,77,1148,0,798,24,212,1080,28,468,423,219,319,318,198,163,0,51,0,1273,217,8,0,196,0,19,0,13,46,0,0,0,26,0,80,37,0,0,37,0,11
"v3_Male_q7",1550,68,1012,0,675,11,158,921,12,464,322,214,219,303,152,123,0,44,0,1287,176,9,0,186,0,17,0,9,29,0,5,6,88,0,125,82,0,0,65,0,5
"v4_Male_q7",1457,64,930,0,641,16,184,856,17,410,285,227,231,248,154,131,0,52,0,1112,183,6,0,148,0,9,0,10,34,0,5,0,40,0,86,34,0,0,35,0,5
"v3_Male_q8",1019,60,686,0,463,9,118,629,9,325,192,139,175,195,115,92,0,25,0,863,138,5,0,141,0,18,0,9,18,0,5,0,65,0,98,37,0,0,48,0,5
"v4_Male_q8",1295,52,818,5,575,17,143,812,7,378,271,233,210,242,125,121,0,35,0,1053,161,0,0,149,0,12,0,10,24,0,0,0,53,0,68,39,0,0,43,0,0
"v3_Male_q9",1120,34,679,0,479,11,118,671,6,389,216,187,173,209,101,71,0,40,0,962,118,10,0,162,0,21,0,8,16,0,17,0,65,0,121,55,0,0,66,0,5
"v4_Male_q9",1232,45,740,0,534,8,144,753,13,377,263,232,192,251,135,109,0,41,0,1071,148,6,0,167,0,16,0,7,34,0,7,0,75,0,96,73,0,0,55,0,0
"v3_Male_q10",920,39,593,0,382,11,115,508,10,303,193,152,141,162,97,81,0,31,0,901,112,0,0,155,0,9,0,7,18,0,0,0,69,0,106,55,0,0,44,0,0
"v4_Male_q10",1037,52,635,0,463,10,126,632,7,341,216,198,167,210,113,83,0,36,0,947,122,12,0,126,0,21,0,10,17,0,5,0,92,0,84,73,0,0,58,0,0
"v3_Male_q11",755,41,413,0,319,6,113,445,8,264,159,127,115,151,85,77,0,31,0,724,80,5,0,112,0,15,0,12,9,0,8,5,35,0,86,35,0,0,44,0,6
"v4_Male_q11",835,46,529,0,351,5,118,583,8,289,175,156,121,194,96,71,0,35,0,833,95,0,0,145,0,14,0,9,13,0,6,0,81,0,88,76,0,0,55,0,5
